tconst	averageRating	numVotes
tt0706287	6.7	33
tt0706568	7.5	51
tt0708940	6.2	2027
tt0709234	7.8	1179
tt0710042	6.7	79
tt0710974	8.2	19
tt0712827	8.2	60
tt0713623	8.8	8421
tt0713861	8.0	84
tt0718483	7.0	211
tt0719271	6.6	12
tt0720332	8.4	17
tt0720974	8.4	69
tt0723734	7.2	25
tt0723935	8.4	77
tt0732639	8.4	9
tt0732644	9.0	12
tt0732739	8.5	42
tt0734607	7.2	2898
tt0738945	8.0	13
tt0739094	6.4	40
tt0739239	8.2	44
tt0739280	8.7	28
tt0740262	5.6	8
tt0741054	7.9	97
tt0744746	7.8	17
tt0747253	7.8	16
tt0747265	8.1	18
tt0748789	7.5	297
tt0749224	7.6	121
tt0750610	5.8	16
tt0751066	6.3	5596
tt0751137	8.8	7156
tt0751247	7.4	3675
tt0751732	7.1	24
tt0753188	6.2	16
tt0755207	7.3	31
tt0756522	6.3	2823
tt0758742	7.5	32742
tt0758745	8.7	76349
tt0758790	8.1	84807
tt0760119	6.9	65
tt0761456	7.4	245
tt0762670	7.4	11
tt0764334	5.7	9
tt0766863	7.7	158
tt0770584	4.6	98
tt0770597	7.6	22
tt0773262	8.6	850851
tt0775995	7.8	375
tt0776759	6.0	78
tt0777351	8.6	544
tt0778740	4.4	19
tt0780134	6.5	763
tt0785280	8.6	15488
tt0787216	6.2	81
tt0790282	8.1	21
tt0791623	8.7	6
tt0793607	5.9	148
tt0794646	7.6	26
tt0796825	6.6	66
tt0797463	8.1	31
tt0797697	8.5	20
tt0800473	8.2	11
tt0804503	8.7	276629
tt0805102	7.0	16
tt0808346	6.2	22
tt0810788	8.0	81343
tt0810900	5.3	69480
tt0816110	8.3	26
tt0816232	6.8	19
tt0822009	6.4	15
tt0822388	5.3	211
tt0824686	7.6	48
tt0824687	7.5	15
tt0825475	6.0	116
tt0826468	6.6	88
tt0826760	8.4	31460
tt0827243	6.3	10
tt0831399	6.1	126
tt0831754	7.0	74
tt0835499	7.9	24
tt0837249	7.4	44
tt0837284	6.6	84
tt0839204	6.2	14
tt0839847	5.8	275
tt0840196	8.2	97433
tt0840445	6.8	12
tt0840745	6.5	11
tt0842397	8.0	83
tt0842405	7.2	40
tt0843969	8.4	197
tt0846339	8.7	955
tt0847993	7.4	338
tt0850928	9.0	164
tt0852863	8.1	63364
tt0857322	8.9	49
tt0857323	7.2	8
tt0857388	7.5	18
tt0858311	7.5	114
tt0859592	7.5	8747
tt0859789	7.2	26
tt0860230	8.6	1349
tt0860554	4.3	237
tt0864723	5.6	14
tt0866639	2.6	454
tt0869112	5.5	29
tt0875824	7.8	85
tt0875864	8.7	55
tt0875963	8.6	37
tt0876707	8.1	262
tt0877057	8.9	430456
tt0883309	7.0	6
tt0884419	6.5	23
tt0885786	8.2	11
tt0893325	5.4	118
tt0894129	7.8	76
tt0894157	6.9	34
tt0896811	5.2	438
tt0897945	8.8	25
tt0898092	8.4	56
tt0898926	5.5	10
tt0903747	9.5	2348380
tt0904208	8.3	192341
tt0905031	9.1	15
tt0906779	6.9	53
tt0910908	5.8	289
tt0914432	7.0	7
tt0916950	7.6	12
tt0917854	6.5	8
tt0921912	9.8	13
tt0922465	4.9	20
tt0924022	8.2	5458
tt0924669	7.9	29
tt0925420	7.7	199
tt0925677	7.6	161
tt0933640	8.1	45
tt0933774	6.9	20
tt0935581	7.4	26
tt0941879	2.4	24
tt0947025	7.4	29
tt0947082	4.0	20
tt0949107	7.5	642
tt0950028	8.9	28
tt0954751	8.1	296
tt0955597	7.5	39
tt0956390	6.2	10
tt0958771	7.6	1053
tt0959372	6.4	13
tt0961097	6.7	23547
tt0961214	8.7	7
tt0967275	8.4	534
tt0968762	5.6	79
tt0969389	7.0	337
tt0972412	6.8	30210
tt0974015	6.0	493075
tt0982504	8.8	28
tt0983642	7.1	28
tt0988345	6.7	9
tt0990828	8.6	21
tt0991647	8.4	979
tt1000164	5.9	12
tt1000456	7.1	9
tt10018074	6.9	412
tt1006325	8.1	47
tt10065398	6.4	9
tt10075374	7.0	6
tt1008343	8.5	14
tt10101288	7.1	19
tt1010444	8.3	21
tt1014762	8.5	23309
tt1015034	9.1	10
tt1016114	7.9	261
tt10169098	8.0	114
tt10177724	9.6	72
tt10182324	6.6	19
tt10203480	5.2	20
tt10207090	4.3	6493
tt1021848	6.8	162
tt10234518	8.5	14
tt1024724	3.9	3022
tt10249374	7.6	146
tt1024983	7.7	11
tt10255440	7.5	13
tt10257196	6.6	73
tt10262334	6.2	6
tt1028420	7.8	83
tt10308196	9.0	7
tt10313176	6.7	11530
tt10314544	6.6	40
tt1032808	5.5	17
tt10353704	6.4	821
tt1037243	7.2	15
tt10374986	7.6	18
tt10375054	8.8	15
tt1038098	6.5	387
tt1039339	7.6	47
tt1039964	6.1	495
tt10426114	5.2	23
tt10471480	9.0	17
tt10483408	7.9	27
tt1049249	8.2	1936
tt1051424	7.2	30
tt1051829	7.6	23
tt10518414	8.2	6
tt1051904	6.3	99228
