title,rating,ratingDescription,release year,user rating score,user rating size,title_normalized,is_top_1000,titleType,isAdult,runtimeMinutes,genres,averageRating,numVotes,seasonNumber,episodeNumber,actors_list,directors_names,writers_names,success_score
pandora,tv-ma,110,True,,82,pandora,False,short,False,39,"action,short",7.8,6,,,"nayiri houldsworth,ilya kovalevskiy,emily vaillancourt,indigo jain,maddy chestnut,renzo abiera,frank evan,danielle furgiuele,sawyer ferreira,kristoffer bradley cruz,tatiana nguyen,elisar haydar","kristoffer bradley cruz,tatiana nguyen","kristoffer bradley cruz,elisar haydar,tatiana nguyen",15.178099162631442
pandora,tv-ma,110,True,,82,pandora,False,movie,False,136,"action,drama,thriller",6.7,9199,,,"kim nam-gil,kim joo-hyun,kim young ae,daekyum ahn,bae gang-yoo,jeong-woo park",jeong-woo park,jeong-woo park,61.15062371234879
pandora,tv-ma,110,True,,82,pandora,False,movie,False,30,unknown,7.8,6,,,unknown,unknown,unknown,15.178099162631442
the office (u.s.),tv-14,90,True,97.0,80,the office (u.s.),False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
90210,tv-14,90,True,62.0,80,90210,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
gossip girl,tv-14,90,True,96.0,80,gossip girl,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
parks and recreation,tv-14,90,True,94.0,80,parks and recreation,False,tvepisode,False,27,"adventure,animation,comedy",8.2,11,10,4,"annick obonsawin,j. meeka stuart,p. kevin strader,george arthur bloom,ellen doherty,paul rodrigue",j. meeka stuart,"p. kevin strader,george arthur bloom,ellen doherty",20.3762345282616
glee,tv-pg,70,True,92.0,80,glee,False,tvepisode,False,30,talk-show,7.8,6,2,4,"beth elderkin,tim sampson","beth elderkin,tim sampson","beth elderkin,tim sampson",15.178099162631442
family guy,tv-ma,110,True,98.0,80,family guy,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
criminal minds,tv-14,90,True,98.0,80,criminal minds,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
friends,tv-14,90,True,98.0,80,friends,False,tvepisode,False,23,"animation,comedy,drama",6.2,10,2,2,"masami shimoda,kou fumizuki,ken'ichi kanemaki",masami shimoda,"kou fumizuki,ken'ichi kanemaki",14.8669506913499
friends,tv-14,90,True,98.0,80,friends,False,tvepisode,False,30,news,7.8,6,,,unknown,unknown,unknown,15.178099162631442
friends,tv-14,90,True,98.0,80,friends,False,short,False,5,"family,short",7.8,6,,,"shashwat chitnis,michael fathurer,selina manroque,kalpna singh-chitnis",kalpna singh-chitnis,kalpna singh-chitnis,15.178099162631442
the secret life of the american teenager,tv-14,90,True,81.0,80,the secret life of the american teenager,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
one tree hill,tv-14,90,True,90.0,80,one tree hill,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
shameless (u.s.),tv-ma,110,True,97.0,80,shameless (u.s.),False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
new girl,tv-14,90,True,91.0,80,new girl,False,tvepisode,False,30,comedy,7.8,6,2,7,nathaniel avila,nathaniel avila,nathaniel avila,15.178099162631442
american horror story,tv-ma,110,True,90.0,80,american horror story,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
orange is the new black,tv-ma,110,True,98.0,80,orange is the new black,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
inside russia's toughest prison,tv-14,90,True,,82,inside russia's toughest prison,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
bates motel,tv-14,90,True,83.0,80,bates motel,False,tvepisode,False,30,news,7.8,6,3,43,unknown,unknown,unknown,15.178099162631442
grace and frankie,tv-ma,110,True,90.0,80,grace and frankie,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
how to get away with murder,tv-14,90,True,95.0,80,how to get away with murder,False,tvepisode,False,57,"documentary,news",7.9,15,40,7,unknown,unknown,unknown,21.90345090569427
the get down,tv-ma,110,True,80.0,80,the get down,False,unknown,True,,unknown,7.2,791,,,unknown,unknown,unknown,48.056842021063865
love,tv-ma,110,True,,82,love,False,tvepisode,False,30,comedy,7.8,6,1,3,unknown,unknown,unknown,15.178099162631442
love,tv-ma,110,True,,82,love,False,short,False,27,"documentary,short",7.8,6,,,raúl de la fuente,raúl de la fuente,unknown,15.178099162631442
love,tv-ma,110,True,,82,love,False,video,False,4,"romance,short",7.8,6,,,"ivette große,costel argesanu",costel argesanu,unknown,15.178099162631442
love,tv-ma,110,True,,82,love,False,short,False,14,"drama,romance,short",8.0,5,,,ognjen petkovic,ognjen petkovic,ognjen petkovic,14.33407575382444
love,tv-ma,110,True,,82,love,False,movie,False,87,drama,7.8,6,,,"michidmaa tsatsralt,tsolmon tumurbaatar,chinguun balkhjav,enkhsaikhan bold,tsogtbayar myasuren,tusbayar dorj",chinguun balkhjav,chinguun balkhjav,15.178099162631442
the oa,tv-ma,110,True,,82,the oa,False,tvseries,False,60,"drama,fantasy,mystery",7.8,122715,,,"brit marling,scott wilson,emory cohen,patrick gibson,ian alexander,brendan meyer,brandon perea,zal batmanglij","zal batmanglij,andrew haigh,anna rose holmer","zal batmanglij,brit marling,dominic orlando,melanie marnich,ruby rae spiegel,henry bean,damien ober,nicki paluga,jorge luis borges,claire kiechel",91.39749856805685
stranger things,tv-14,90,True,90.0,80,stranger things,False,tvepisode,False,30,comedy,7.8,6,8,5,jason vitteri-lewis,jason vitteri-lewis,jason vitteri-lewis,15.178099162631442
