tconst	directors	writers
tt5751564	nm8154909	nm7224781,nm3758935,nm3445229,nm4132069,nm3877423,nm8154909
tt5752208	\N	\N
tt5752860	\N	\N
tt5755708	nm5480533	nm5480533
tt5759196	\N	nm0825517,nm3372967,nm1394301,nm2291749,nm5563172,nm2320673,nm8346078,nm2200351,nm0784180,nm6669454,nm4961568,nm3847061,nm4255933,nm2758422,nm5850168,nm2995437,nm3366626,nm3976409,nm2066061,nm8423501,nm6423183,nm1847976,nm3714761,nm7172293,nm6895212,nm5558984,nm0700955,nm3112957,nm3133422,nm3006131,nm7299408,nm5199482
tt5762174	nm1207195	nm6362267,nm1558946
tt5769112	nm0789059	nm1969775
tt5774254	nm1198351	nm8186543,nm1940744,nm4175593,nm2712625
tt5775720	nm0165159,nm0225924,nm0552517,nm0562137	\N
tt5775862	nm7874205	\N
tt5775986	nm6380232	nm6380232
tt5778400	nm7355366	nm7355366
tt5782218	nm5019479	nm5019479
tt5784532	nm2218987	nm2746815
tt5785598	nm8196934,nm8196935	nm8196935
tt5786446	nm0257775	nm0074518,nm0257775,nm0612201
tt5788316	nm5853083	nm5853083
tt5789240	\N	nm3758935,nm2098823,nm0797520,nm8061001,nm4932106
tt5796704	nm3094006,nm2322788	nm2322788
tt5796784	nm7235094,nm7160783	nm6019671,nm2683818,nm5484635,nm7235094
tt5797586	nm8207904	nm8207904
tt5798198	nm1690966,nm2304017,nm2700094	nm0373388,nm2352830,nm2624720
tt5798912	nm7908710	nm7908710
tt5799508	\N	nm1676090,nm4534042
tt5805632	nm2459245	nm2071612,nm9125050,nm1768333
tt5806854	nm8104267	\N
tt5811580	nm7676009	nm7676009
tt5811648	nm7676009	nm7676011
tt5813754	nm6866661	nm6702706,nm6866662
tt5818642	\N	\N
tt5826724	nm14361009	\N
tt5832750	nm4790791	nm4790791
tt5832980	nm3422061,nm1398781,nm1167927	nm1192610,nm2772986,nm0266405,nm3422061,nm2222463,nm0632335,nm1398781,nm3002622,nm2439672
tt5836444	nm2580298,nm2761687	nm2580298,nm2761687
tt5840486	nm6538747	nm6538747
tt5846708	\N	\N
tt5846856	nm1672068,nm5058837,nm6507773,nm2968347,nm5107793,nm8286468	nm1672068,nm1672069,nm1870809,nm7284436,nm0446063,nm0918219,nm4922598,nm8265247,nm5058837,nm2968347,nm10244068,nm7158672,nm3814726,nm5798020,nm6507773,nm1586463,nm9132949
tt5852054	nm3963291	nm3963291
tt5853208	nm1168080,nm1094255	nm1339763
tt5853378	\N	nm4430296
tt5856140	nm0868381	nm3414606
tt5864626	nm0674941	\N
tt5866980	nm4784772	nm4784772
tt5868482	\N	nm0441325,nm2900311
tt5869168	nm3973010	nm3973010
tt5869228	nm0544741	nm7616625,nm4824887,nm2061147
tt5870336	nm1991950	nm1985155,nm8488210
tt5871166	nm7301558	nm8276945
tt5872410	nm8121977,nm6792888,nm8160788	nm6792888,nm8160229
tt5877482	\N	nm7935385
tt5880652	nm3276573	nm3728502
tt5883700	nm1434034	\N
tt5884566	nm0997653	\N
tt5884960	nm7057993	nm8289285,nm7057993
tt5887080	nm2201560	nm2201560
tt5892662	nm6933615	nm8296152
tt5893332	nm0109359	nm4674057,nm0755586,nm0001191
tt5896454	\N	\N
tt5896674	nm1326085	\N
tt5898346	nm6639875	nm6639875
tt5898488	nm4695438	nm4695438
tt5898598	\N	nm0008743,nm0074184,nm4955881,nm1064546,nm0790771,nm0790779,nm0790808,nm0826425
tt5901918	nm5785106	nm5785100,nm5785106
tt5906696	nm2568661	\N
tt5910496	nm1596592	\N
tt5913260	nm4734891,nm7891945	\N
tt5913644	nm3100861,nm4734891	\N
tt5913648	nm3680655	nm2771996
tt5916218	nm0704588,nm6465750,nm5994801,nm0617106,nm1103040,nm3368586,nm4847599,nm5485894	nm1397147,nm2435945,nm1285303,nm1803885,nm1967919,nm2251713,nm5664390,nm0948823,nm2985521,nm3976409,nm2995437,nm2553419,nm0135184,nm0824900,nm5558364,nm2240720,nm2468934,nm2374583,nm0275583,nm9737244
tt5917468	nm0335283	nm1802801,nm1121448
tt5921446	nm0093934	nm1171743,nm2053216,nm0848496
tt5921466	nm0441325	nm0441325
tt5924844	nm8326990	\N
tt5925716	nm2294492	nm2294492
tt5925764	nm5399011	nm5399011
tt5926088	nm3106869	nm3106869
tt5934232	\N	nm1858702,nm1355577
tt5934428	nm2063854	\N
tt5945924	nm0022828,nm2721271	nm0239635,nm0389830,nm0458807,nm2276261,nm2106463
tt5947868	nm8345897	\N
tt5949076	nm1518236	nm1518236
tt5950146	nm2362999	nm2362999
tt5950210	\N	\N
tt5952886	nm2290337	nm5708891,nm3097574,nm2290337,nm3547975,nm4380441,nm4448360
tt5955384	nm8294863	\N
tt5960126	\N	\N
tt5960284	nm1518150	nm1513241,nm1518150
tt5962404	nm4569678,nm5125343	nm0098079,nm2745208,nm4569678
tt5963142	\N	nm1445359
tt5964040	\N	nm1657553,nm1277692
tt5966140	nm5241213	nm5241213
tt5966166	nm7908710	nm7908710
tt5968958	nm0441325	nm0441325
tt5968984	nm0441325	nm0441325
tt5969228	nm3563965	nm3563965
tt5971932	\N	\N
tt5973164	nm0871428	nm0361927
tt5973768	nm4781111	nm8368703
tt5978822	nm2989430	nm5801801,nm10740353,nm2989430,nm7475895,nm6576882,nm8382441
tt5979358	\N	\N
tt5979740	\N	\N
tt5984922	nm8376121	nm8376121
tt5985264	nm7914613	\N
tt5992572	nm1513166,nm8382817,nm12989176	nm1513166,nm12989176
tt5993744	nm0528308	\N
tt5996544	\N	\N
tt6000226	\N	\N
tt6000712	nm6661271	nm4845207,nm5500014,nm6661271
tt6004700	\N	\N
tt6004806	nm0557297,nm0804003,nm8401630,nm0200402,nm5079079	nm2593444,nm3539230,nm2903805,nm4668817,nm1096914,nm8404154,nm3142501,nm2043297,nm1394301,nm0584242,nm4653756,nm8401671,nm1871875,nm3511083,nm1744013,nm0753228,nm1765171,nm3984071,nm2212543
tt6013826	nm1098482,nm7324971	\N
tt6014404	nm3337283	nm8386640,nm3337283
tt6015070	\N	\N
tt6021156	nm1061148	nm3157315,nm1061148
tt6023912	\N	\N
tt6025022	nm1690966,nm0722713	nm0004170,nm0551376,nm0795975,nm0796950,nm0568336,nm0218204,nm1914953,nm0075487,nm0329213,nm0227704,nm0456158,nm0863622,nm9235805,nm1979137,nm0319667,nm1132610,nm0956782,nm0177404,nm2294487,nm0827418,nm0424315,nm2613887,nm1189825,nm8829833,nm1694619
tt6027784	\N	\N
tt6027850	\N	\N
tt6030260	\N	\N
tt6031678	nm7569234	\N
tt6037866	nm0784289	nm0784289
tt6038584	nm2126148,nm1398781	nm1882744
tt6043838	nm0788426	nm0329634,nm1321658,nm1230361,nm5083564,nm4096635,nm3452745,nm5314287
tt6045750	nm6536260	\N
tt6050848	nm7360726	nm7753332,nm7360726
tt6051142	nm5628248	nm5628248
tt6054602	nm0223412,nm1078078	nm0463521,nm0409304,nm0408049
tt6059006	nm1060997	nm3921993,nm3238704,nm8374229,nm8374230,nm1575405,nm4406480,nm3462355
tt6060400	nm6926682	nm6926682,nm6939204
tt6061738	\N	\N
tt6062430	nm5738160	nm5738160,nm8110499,nm8438193
tt6065546	nm5788557	\N
tt6068586	nm10799775	nm0945348
tt6071018	nm1743352	\N
tt6071232	nm8445529	nm8445532,nm8121316
tt6071636	\N	nm3147979,nm3619739
tt6072114	\N	nm0301774
tt6073922	nm5210580,nm5210663	nm5210580,nm5773757,nm5210663
tt6076444	\N	nm8438277
tt6081722	nm0931724	nm0081189,nm1739039,nm3153893,nm2391773
tt6083196	nm5387122,nm6721127	nm1977527
tt6084030	nm8457396	\N
tt6087266	\N	nm0395288
tt6089520	nm6833232	\N
tt6089780	\N	\N
tt6090956	nm8464157,nm8496598	nm8464157,nm8496598
tt6095712	nm2294492	nm2294492
tt6101862	nm1418216	nm5464901,nm2081046,nm0000341,nm0415425,nm0471172,nm0798646,nm1119880
tt6102480	\N	nm1461945,nm1414749
tt6103548	\N	\N
tt6110666	nm7311355	nm7311355
tt6115398	nm0096901	nm0096901,nm8483972,nm1591002,nm1573380,nm8483971
tt6118954	\N	\N
tt6133138	nm6938507,nm6938505	nm6938507,nm6938505
tt6133634	\N	\N
tt6135644	nm7311355	nm7311355
tt6136488	nm0285968	nm0285968,nm0456017
tt6138688	nm0483608,nm12962981,nm1618536,nm12667379	nm8750898
tt6141422	\N	\N
tt6151864	\N	\N
tt6153882	\N	\N
tt6157284	nm4702089	nm0043981,nm1016235
tt6158788	nm2610141	nm2610141
tt6162756	\N	\N
tt6164936	nm1037455,nm2001483	nm1836368,nm3747859
tt6171354	nm1011308	\N
tt6173418	nm5564079	nm5564079
tt6178610	nm0203146	nm0831569,nm6263569
tt6181728	nm0021249,nm0377166,nm0534041	nm0021249,nm0326814,nm0363125,nm0472866,nm0534041,nm0560329,nm0809205
