tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,principals_names_list,directors_names,writers_names
tt0006437,movie,The Blacklist,The Blacklist,0,1916,\N,50,Drama,nm0210352,"nm0265572,nm0210352",7.6,32,,,,"William C. de Mille, Marion Fairfax, William C. de Mille",William C. de Mille,"Marion Fairfax, William C. de Mille"
tt0007454,movie,The Three Musketeers,The Three Musketeers,0,1916,\N,63,Adventure,nm0842521,"nm0241416,nm0370271",6.1,49,,,,"Orrin Johnson, Louise Glaum, Harvey Clark, Walt Whitman, George Fisher, Rhea Mitchell, Alfred Hollingsworth, Edward Kenny, Charles Swickard, Alexandre Dumas, J.G. Hawks, Joseph Nurnberger",Charles Swickard,"Alexandre Dumas, J.G. Hawks"
tt0008123,movie,House of Cards,House of Cards,0,1917,\N,\N,Drama,nm0349785,nm0349785,5.7,16,,,,"Kittens Reichert, Yolande Duquette, Howard Small, Alice Guy, Alice Guy",Alice Guy,Alice Guy
tt0008540,movie,Scandal,Scandal,0,1917,\N,60,"Comedy,Romance",nm0316794,"nm0357795,nm0580648,nm0316794",,,,,,"Harry C. Browne, J. Herbert Frank, Aimee Dalmores, Mattie Ferguson, Charles Giblyn, Cosmo Hamilton, Bess Meredyth, Charles Giblyn",Charles Giblyn,"Cosmo Hamilton, Bess Meredyth, Charles Giblyn"
tt0009544,movie,Revenge,Revenge,0,1918,\N,70,Western,nm0115218,"nm0595569,nm0444508,nm0662701",7.8,38,,,,"Alberta Ballard, Tod Browning, Edward Moffat, H.P. Keeler, William Parker",Tod Browning,"Edward Moffat, H.P. Keeler, William Parker"
tt0010261,movie,Home,Home,0,1919,\N,60,Drama,nm0916665,nm0916665,,,,,,"Helen Yoder, Lois Weber, Lois Weber",Lois Weber,Lois Weber
tt0010391,short,Love,Love,0,1919,\N,23,"Comedy,Short",nm0000779,"nm0000779,nm0117018",6.7,361,,,,Roscoe 'Fatty' Arbuckle,Roscoe 'Fatty' Arbuckle,"Roscoe 'Fatty' Arbuckle, Vincent Bryan"
tt0012451,movie,The Match-Breaker,The Match-Breaker,0,1921,\N,50,"Comedy,Romance",nm0280205,"nm0925213,nm0954654",,,,,,"Julia Calhoun, Lenore Lynard, Dallas M. Fitzgerald, Metta White, Arthur J. Zellner",Dallas M. Fitzgerald,"Metta White, Arthur J. Zellner"
tt0012752,movie,The Three Musketeers,The Three Musketeers,0,1921,\N,119,"Action,Adventure,Family",nm0629243,"nm0241416,nm0461241,nm0940689,nm0001196",6.9,1225,,,,"Douglas Fairbanks, Nigel De Brulier, George Siegmann, Mary MacLaren, Thomas Holding, Marguerite De La Motte, Willis Robards, Boyd Irwin, Fred Niblo, Alexandre Dumas, Edward Knoblock, Lotta Woods, Louis F. Gottschalk, Nellie Mason",Fred Niblo,"Alexandre Dumas, Edward Knoblock, Lotta Woods, Douglas Fairbanks"
tt0013059,movie,Once Upon a Time,Der var engang,0,1922,\N,75,"Drama,Family,Fantasy",nm0003433,"nm0236626,nm0003433,nm0742633",6.3,556,,,,"Clara Pontoppidan, Peter Jerndorff, Mohamed Archer, Bodil Faber, Wilhelmine Henriksen, Lili Lani, Henry Larsen, Frederik Leth, Carl Theodor Dreyer, Holger Drachmann, Carl Theodor Dreyer, Palle Rosenkrantz, Sophus Madsen, Carl Theodor Dreyer",Carl Theodor Dreyer,"Holger Drachmann, Carl Theodor Dreyer, Palle Rosenkrantz"
tt0015042,movie,Love,Koi,0,1924,\N,60,Drama,nm0455938,\N,,,,,,"Nobuô Takeuchî, Teinosuke Kinugasa",Teinosuke Kinugasa,
tt0018033,movie,It,It,0,1927,\N,72,"Comedy,Romance","nm0046082,nm0903049","nm0323325,nm0521002,nm0510024,nm0547938",7.2,3836,,,,"Antonio Moreno, William Austin, Jacqueline Gadsdon, Elinor Glyn, Clarence G. Badger, Elinor Glyn, Hope Loring, Louis D. Lighton, George Marion Jr., William P. Perry, H. Kinley Martin","Clarence G. Badger, Josef von Sternberg","Elinor Glyn, Hope Loring, Louis D. Lighton, George Marion Jr."
tt0018107,movie,Love,Love,0,1927,\N,82,"Drama,Romance","nm0332539,nm0318105","nm0866243,nm0014703,nm0191956,nm0600641",6.8,1263,,,,"John Gilbert, Brandon Hurst, Edmund Goulding, Lev Tolstoy, Marian Ainslee, Ruth Cummings, Edmund Goulding, Arnold Brostoff","Edmund Goulding, John Gilbert","Lev Tolstoy, Marian Ainslee, Ruth Cummings, Lorna Moon"
tt0019320,movie,Revenge,Revenge,0,1928,\N,70,"Action,Drama,Romance",nm0136888,"nm0073393,nm0288986",,,,,,"Sophia Ortiga, Rita Carewe, José Crespo, Sam Appel, Marta Golden, Jess Cavin, Edwin Carewe, Konrad Bercovici, Finis Fox, Edwin Carewe, Al Green, Robert Kurrle, Jeanne Spencer",Edwin Carewe,"Konrad Bercovici, Finis Fox"
tt0020367,movie,Scandal,Scandal,0,1929,\N,70,Drama,nm0749484,"nm0031033,nm0715723,nm0774539,nm0820700",,,,,,"Wesley Ruggles, Walter Anthony, Tom Reed, Paul Schofield, Adela Rogers St. Johns",Wesley Ruggles,"Walter Anthony, Tom Reed, Paul Schofield, Adela Rogers St. Johns"
tt0020369,movie,Scandal,Spletnya,0,1928,\N,70,"Drama,Romance",nm0673375,nm6624393,,,,,,"Lili Kipiani, Dmitry Kipiani, F. Khokhlov, T. Kochkina, A. Poltavtseva, M. Sheveleva, Konkordiya Yakovleva, Ivane Perestiani, Lyubov Gurevich, Aleksandr Stanke, Vasili Krichevsky, Ivan Suvorov",Ivane Perestiani,Lyubov Gurevich
tt0023679,movie,Dope,Der weiße Dämon,0,1932,\N,107,Drama,nm0314777,"nm0563030,nm0954135",7.2,39,,,,"Trude von Molo, Hans Joachim Schaufuß, Kurt Gerron, Philipp Lothar Mayring, Fritz Zeckendorf, Constantin Mick",Kurt Gerron,"Philipp Lothar Mayring, Fritz Zeckendorf"
tt0023746,movie,Love,Ramûru,0,1933,\N,93,"Drama,Romance",nm0331482,nm0299343,6.6,29,,,,"Michiko Oikawa, Tadao Watanabe, Reikô Tani, Heinosuke Gosho, Akira Fushimi, Jôji Ohara",Heinosuke Gosho,Akira Fushimi
tt0024631,movie,Supernatural,Supernatural,0,1933,\N,65,"Drama,Horror,Mystery",nm0356931,"nm0922951,nm0857710,nm0549217",6.2,1071,,,,"Alan Dinehart, Vivienne Osborne, George Burr MacAnnan, Lyman Williams, Victor Halperin, Garnett Weston, Harvey F. Thew, Brian Marlow, Edward Halperin, Victor Halperin",Victor Halperin,"Garnett Weston, Harvey F. Thew, Brian Marlow"
tt0024663,movie,The Three Musketeers,The Three Musketeers,0,1933,\N,210,"Action,Adventure,Drama","nm0163786,nm0769585","nm0241416,nm0355963,nm0163786,nm0765036,nm0169243,nm0321216",5.2,534,,,,"Jack Mulhall, Raymond Hatton, Francis X. Bushman Jr., Ruth Hall, Hooper Atchley, Colbert Clark, Armand Schaefer, Alexandre Dumas, Norman S. Hall, Colbert Clark, Barney A. Sarecky, Lee Zahler, Tom Galligan, Ernest Miller, Ray Snyder","Colbert Clark, Armand Schaefer","Alexandre Dumas, Norman S. Hall, Colbert Clark, Barney A. Sarecky, Bennett Cohen, Wyndham Gittens"
tt0026129,movie,Bordertown,Bordertown,0,1935,\N,90,"Crime,Drama,Film-Noir",nm0562845,"nm0236418,nm0810290,nm0520501,nm0333958",6.6,2072,,,,"Archie Mayo, Laird Doyle, Wallace Smith, Robert Lord, Carroll Graham",Archie Mayo,"Laird Doyle, Wallace Smith, Robert Lord, Carroll Graham"
tt0027099,movie,The Three Musketeers,The Three Musketeers,0,1935,\N,96,"Action,Adventure,Romance",nm0498174,"nm0629580,nm0498174,nm0241416",5.8,417,,,,"Margot Grahame, Rosamond Pinchot, Rowland V. Lee, Dudley Nichols, Rowland V. Lee, Alexandre Dumas, George Hively",Rowland V. Lee,"Dudley Nichols, Rowland V. Lee, Alexandre Dumas"
tt0028478,movie,The Walking Dead,The Walking Dead,0,1936,\N,66,"Crime,Drama,Horror",nm0002031,"nm0011485,nm0590361,nm0028826,nm0371771,nm0276284",6.6,3379,,,,"Marguerite Churchill, Henry O'Neill, Addison Richards, Michael Curtiz, Ewart Adamson, Peter Milne, Robert Hardy Andrews, Lillie Hayward",Michael Curtiz,"Ewart Adamson, Peter Milne, Robert Hardy Andrews, Lillie Hayward, Joseph Fields"
tt0030083,movie,Friends,Druzya,0,1939,\N,85,"Biography,War",nm0036769,"nm0036769,nm0863142",6.1,33,,,,"Yuliya Predtechenskaya, Pavel Gaideburov, Lev Arnshtam, Lev Arnshtam, Nikolai Tikhonov",Lev Arnshtam,"Lev Arnshtam, Nikolai Tikhonov"
tt0030625,movie,Prison Break,Prison Break,0,1938,\N,72,"Crime,Drama,Thriller",nm0523893,"nm0662526,nm0202590",6.1,343,,,,"Arthur Lubin, Norton S. Parker, Dorothy Davenport, Hayes Pagel",Arthur Lubin,"Norton S. Parker, Dorothy Davenport"
tt0032028,movie,The Three Musketeers,The Three Musketeers,0,1939,\N,73,"Action,Adventure,Comedy",nm0245385,"nm0615842,nm0237033,nm0474657,nm0325482,nm0375500,nm0241416",5.9,716,,,,"Don Ameche, The Ritz Brothers, Pauline Moore, Allan Dwan, M.M. Musselman, William Absalom Drake, Sid Kuller, Ray Golden, Jack Dennis",Allan Dwan,"M.M. Musselman, William Absalom Drake, Sid Kuller, Ray Golden, Sam Hellman, Alexandre Dumas"
tt0032455,movie,Fantasia,Fantasia,0,1940,\N,124,"Animation,Family,Fantasy","nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313","nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872",7.7,108298,,,,"Leopold Stokowski, Deems Taylor, Corey Burton, Corey Burton, Tim Matheson, Tim Matheson, Julietta Novis, Julietta Novis, Joe Grant, Dick Huemer, Lee Blair, Elmer Plummer","James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen","Joe Grant, Dick Huemer, Lee Blair, Elmer Plummer, Phil Dike, Sylvia Moberly-Holland, Norman Wright, Bianca Majolie, Graham Heid, Perce Pearce, Carl Fallberg, William Martin, Leo Thiele, Robert Sterner, John McLeish, Otto Englander, Webb Smith, Erdman Penner, Joseph Sabo, Bill Peet, Vernon Stallings, Campbell Grant, Arthur Heinemann"
tt0034928,movie,The Jungle Book,Jungle Book,0,1942,\N,108,"Action,Adventure,Family",nm0466113,"nm0821716,nm0456017",6.7,4895,,,,"Sabu, Joseph Calleia, Patricia O'Rourke, Ralph Byrd, John Mather, Faith Brook, Zoltan Korda, Laurence Stallings",Zoltan Korda,"Laurence Stallings, Rudyard Kipling"
tt0035733,short,Chicken Little,Chicken Little,0,1943,\N,8,"Animation,Comedy,Family","nm0194018,nm0314671",nm0400056,7.3,1006,,,,,"Jack Cutting, Clyde Geronimi",Dick Huemer
tt0035912,movie,Twilight,Félicie Nanteuil,0,1944,\N,99,"Drama,Romance",nm0002165,"nm0009766,nm0018348,nm0289787,nm0210961",7.1,110,,,,"Jacques Louvigny, Marcelle Praince, Marion Malville, Charlotte Clasis, Charles Lavialle, Max Révol, Marc Allégret, Marcel Achard, Curt Alexander, Anatole France, Charles de Peyret-Chappuis, Georges Florin, Jacques Ibert, Louis Page, Henri Taverna",Marc Allégret,"Marcel Achard, Curt Alexander, Anatole France, Charles de Peyret-Chappuis"
tt0036611,movie,Army Wives,Army Wives,0,1944,\N,68,"Comedy,Romance",nm0005847,"nm1090425,nm0649913",6.3,12,,,,"Phil Rosen, Joel Levy Jr., B. Harrison Orkow",Phil Rosen,"Joel Levy Jr., B. Harrison Orkow"
tt0037150,movie,Once Upon a Time,Once Upon a Time,0,1944,\N,89,"Comedy,Family,Fantasy",nm0355284,"nm0578439,nm0766665,nm0277687,nm0181658,nm0282061",6.1,1155,,,,"John Abbott, Alexander Hall, Lewis Meltzer, Oscar Saul, Irving Fineman, Norman Corwin",Alexander Hall,"Lewis Meltzer, Oscar Saul, Irving Fineman, Norman Corwin, Lucille Fletcher"
tt0039072,movie,Revenge,Un uomo ritorna,0,1946,\N,90,Drama,nm0626885,"nm1548784,nm0316046,nm0538032,nm0673773",5.5,56,,,,"Anna Magnani, Luisa Poselli, Simonetta Adami, Gustavo Conforti, Max Neufeld, Umberto Del Giglio, Luigi Giacosi, Anton Giulio Majano, Ivo Perilli",Max Neufeld,"Umberto Del Giglio, Luigi Giacosi, Anton Giulio Majano, Ivo Perilli"
tt0040092,movie,Love,L'amore,0,1948,\N,69,Drama,nm0744023,"nm0168413,nm0000019,nm0744023,nm0070981,nm0684083,nm0884952",6.9,2063,,,,"Anna Magnani, Anna Magnani, Federico Fellini, Roberto Rossellini, Jean Cocteau, Federico Fellini, Roberto Rossellini, Anna Benvenuti, Roberto Rossellini, Christian Bérard",Roberto Rossellini,"Jean Cocteau, Federico Fellini, Roberto Rossellini, Anna Benvenuti, Tullio Pinelli, Ramón del Valle-Inclán"
tt0040876,movie,The Three Musketeers,The Three Musketeers,0,1948,\N,125,"Action,Adventure,Drama",nm0796645,"nm0241416,nm0034124",7.1,7384,,,,"John Sutton, George Sidney, Alexandre Dumas, Robert Ardrey, Robert H. Planck, George Boemler, Robert Kern",George Sidney,"Alexandre Dumas, Robert Ardrey"
tt0042958,movie,Scandal,Shûbun,0,1950,\N,105,Drama,nm0000041,"nm0452878,nm0000041",7.2,4998,,,,"Yôko Katsuragi, Akira Kurosawa, Ryûzô Kikushima, Akira Kurosawa",Akira Kurosawa,"Ryûzô Kikushima, Akira Kurosawa"
tt0043163,movie,Once Upon a Time...,Érase una vez,0,1950,\N,90,"Animation,Comedy,Family","nm0671177,nm0260322","nm0032719,nm0328013,nm0674518",6.2,71,,,,"Rosita Valero, Esperanza Barrero, Maribel Casals, Camino Garrigó, Alexandre Cirici Pellicer, José Escobar, José María Aragay, Javier González Álvarez, Charles Perrault, Josep Benet, Jaime de Ferrater, Maria Rosa Roig","Alexandre Cirici Pellicer, José Escobar","José María Aragay, Javier González Álvarez, Charles Perrault"
tt0044025,movie,The Seven Deadly Sins,Les sept péchés capitaux,0,1952,\N,127,Drama,"nm0001905,nm0002193,nm0208370,nm0238810,nm0480190,nm0727225,nm0744023","nm0042179,nm0002193,nm0053571,nm0063341,nm0098204,nm0171372,nm0264420,nm0274767,nm0423329,nm0682881,nm0727225,nm0744023,nm0816458,nm0890480,nm0923941",6.3,299,,,,"Marcelle Praince, Marcelle Praince, Robert Auboyneau, Robert Auboyneau, Frédérique Hébrard, Frédérique Hébrard, Yves Allégret, Claude Autant-Lara, Eduardo De Filippo, Jean Dréville, Jean Aurenche, Claude Autant-Lara, Jules-Amédée Barbey d'Aurevilly, Hervé Bazin, F. Kretschmer, Turi Vasile, Ugo Bloettler, Max Douy","Yves Allégret, Claude Autant-Lara, Eduardo De Filippo, Jean Dréville, Georges Lacombe, Carlo Rim, Roberto Rossellini","Jean Aurenche, Claude Autant-Lara, Jules-Amédée Barbey d'Aurevilly, Hervé Bazin, Pierre Bost, Colette, Diego Fabbri, Liana Ferri, Léo Joannon, Antonio Pietrangeli, Carlo Rim, Roberto Rossellini, Charles Spaak, Turi Vasile, René Wheeler"
tt0044093,tvEpisode,The Three Musketeers,The Three Musketeers,0,1950,\N,60,Drama,nm0091430,"nm0241416,nm0358139",4.5,22,tt0959862,1,6,"Budd Boetticher, Alexandre Dumas, Roy Hamilton",Budd Boetticher,"Alexandre Dumas, Roy Hamilton"
tt0044268,tvSeries,The Hunter,The Hunter,0,1952,\N,30,Drama,"nm0748979,nm0567757,nm0075318,nm0598723","nm0071286,nm0718448,nm2496921,nm2138003,nm0437320,nm0649569,nm0696190,nm0740622,nm4077297,nm0073116,nm0338734,nm1056753,nm0776456,nm12972817,nm0268716,nm0268717,nm14674271,nm2036525,nm0632873,nm14674270,nm0748111,nm14673908",8.1,16,,,,,"Oscar Rudolph, Frank McDonald, William Berke, Edward Montagne","Burton Benjamin, Philip H. Reisman Jr., Robert Shaplen, Chestley Ellis, Henry Kane, Peter Ordway, Robert Presnell Sr., Bradford Ropes, Norman Ashton, Hamilton Benz, Denis Greene, Jack Roche, Franz Schulz, Franz Spencer, George Fass, Gertrude Fass, Evelyn Konrad, Betty Loring, Stanley Niss, Richard Nunis, Mann Rubin, Robert Stewart"
tt0046461,movie,The Three Musketeers,Les 3 Mousquetaires,0,1953,\N,116,Adventure,nm0402161,"nm0241416,nm0002192",6.0,458,,,,"Georges Marchal, Danielle Godet, Jean Parédès, Louis Arbessier, Georges Chamarat, André Hunebelle, Alexandre Dumas, Michel Audiard, André Hunebelle",André Hunebelle,"Alexandre Dumas, Michel Audiard"
tt0048699,movie,The Jungle Book,Tarzan's Hidden Jungle,0,1955,\N,72,"Action,Adventure",nm0776838,"nm0515139,nm0123194",5.4,657,,,,"Charles Fredericks, Zippy, Harold D. Schuster, William Lively, Edgar Rice Burroughs",Harold D. Schuster,"William Lively, Edgar Rice Burroughs"
tt0048906,tvSeries,The Three Musketeers,I tre moschettieri,0,1956,\N,30,\N,"nm0293707,nm0567757,nm0503622,nm0006615,nm0432846","nm0178763,nm1856882,nm0241416,nm0268716,nm0268717,nm1660974,nm0006615,nm0173153,nm0208086,nm0210130,nm0542531,nm0673773,nm1080143",5.0,16,,,,"Paul Campbell, Sebastian Cabot, George Gonneau, Domenico Modugno, Peter Trent, Peter Trent, Steve Garrett","Hugo Fregonese, Frank McDonald, Joseph Lerner, Mauro Bolognini, Nathan Juran","DeWitt Copp, Mark Dreck, Alexandre Dumas, George Fass, Gertrude Fass, Martin Stern, Mauro Bolognini, Golfiero Colonna, Ennio De Concini, Alberto De Martino, Don Mankiewicz, Ivo Perilli, John Rich"
tt0048947,movie,Anastasia,Anastasia,0,1956,\N,105,"Biography,Drama,History",nm0514822,"nm0491306,nm0561067,nm0093397",7.0,9907,,,,"Anatole Litvak, Arthur Laurents, Marcelle Maurette, Guy Bolton",Anatole Litvak,"Arthur Laurents, Marcelle Maurette, Guy Bolton"
tt0049406,movie,The Killing,The Killing,0,1956,\N,84,"Crime,Drama,Film-Noir",nm0000040,"nm0000040,nm0860292,nm0925137",7.9,102298,,,,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen, Ted de Corsia, Marie Windsor, Joe Sawyer, James Edwards, Timothy Carey, Stanley Kubrick, Stanley Kubrick, Jim Thompson, Lionel White, James B. Harris, Gerald Fried, Lucien Ballard, Betty Steinberg",Stanley Kubrick,"Stanley Kubrick, Jim Thompson, Lionel White"
tt0049438,movie,Love,Liebe,0,1956,\N,96,Drama,nm0405436,"nm0062139,nm0404487",7.0,16,,,,"Werner Schott, Horst Hächler, Vicki Baum, Jochen Huth",Horst Hächler,"Vicki Baum, Jochen Huth"
tt0056467,movie,The Seven Deadly Sins,Les sept péchés capitaux,0,1962,\N,113,Comedy,"nm0003606,nm0001031,nm0218840,nm0223581,nm0000419,nm0596850,nm0671862,nm0235499","nm0409560,nm0561094,nm0099429,nm0218840,nm0000419,nm0545121,nm0671862,nm0001031,nm0678981",6.3,712,,,,"Danièle Barraud, Philippe de Broca, Claude Chabrol, Jacques Demy, Sylvain Dhomme, Eugène Ionesco, Claude Mauriac, Daniel Boulanger, Jacques Demy, Max Douy","Philippe de Broca, Claude Chabrol, Jacques Demy, Sylvain Dhomme, Jean-Luc Godard, Édouard Molinaro, Roger Vadim, Max Douy","Eugène Ionesco, Claude Mauriac, Daniel Boulanger, Jacques Demy, Jean-Luc Godard, Félicien Marceau, Roger Vadim, Claude Chabrol, Roger Peyrefitte"
tt0056941,movie,Come Fly with Me,Come Fly with Me,0,1963,\N,109,"Comedy,Romance",nm0505610,"nm0731679,nm0322496",6.2,894,,,,"Dolores Hart, Henry Levin, William Roberts, Bernard Glemser",Henry Levin,"William Roberts, Bernard Glemser"
tt0059153,movie,It,Es,0,1966,\N,86,Drama,nm0769998,nm0769998,7.2,129,,,,"Sabine Sinjen, Bruno Dietrich, Bernhard Minetti, Harry Gillmann, Inge Herbrecht, Ulrike Ulrich, Ulrich Schamoni, Ulrich Schamoni, Gérard Vandenberg",Ulrich Schamoni,Ulrich Schamoni
tt0060033,tvSeries,Tarzan,Tarzan,0,1966,1968,60,"Action,Adventure","nm0630132,nm0428195,nm0936823,nm0790395,nm0229697,nm0295550,nm0494903,nm0822570,nm0464506,nm0068691,nm0189075,nm0206560,nm0239291,nm0550892,nm0607612,nm0819806,nm0255935,nm0562388,nm0911926,nm0356374","nm0319288,nm0928068,nm0628257,nm0109608,nm0011835,nm0238083,nm0788503,nm0788616,nm0260012,nm0500352,nm0805577,nm0123194,nm0777831,nm0484479,nm1531049,nm0175912,nm0175919,nm0186918,nm2120423,nm0329548,nm0343313,nm0370152,nm0370252,nm2120690,nm0732696,nm0736276,nm0740537,nm0754517,nm2120225,nm2122431,nm0067801,nm0094965,nm0206409,nm0229697,nm0504358,nm0517216,nm0544593,nm0551869,nm0579995,nm0606510,nm0873200,nm0312479,nm0991378,nm0656048",7.0,1329,,,,"Ron Ely, Manuel Padilla Jr., Virgil Richardson, Virgil Richardson, Virgil Richardson","Alex Nicol, Harmon Jones, William Witney, Barry Shear, Lawrence Dobkin, Robert L. Friend, Anton Leader, Paul Stanley, James Komack, Earl Bellamy, Alan Crosland Jr., Robert Day, Charles S. Dubin, George Marshall, Hollingsworth Morse, R.G. Springsteen, Ron Ely, Gerald Mayer, William Wiard, E. Darrell Hallenbeck","Jackson Gillis, Carey Wilber, Samuel Newman, Don Brinkley, Jerry Adelman, William Driskill, Esther Shapiro, Richard Alan Shapiro, Lee Erwin, James Leighton, George F. Slavin, Edgar Rice Burroughs, S.S. Schweitzer, Richard H. Landau, Cornelius Ballard, John Considine, Tim Considine, Oliver Crawford, G. Joshua David, Robert Goodwin, Jack Gross Jr., John Hawkins, Ward Hawkins, S.J. Loy, Jack H. Robinson, Samuel Roeca, Wells Root, Robert Sabaroff, Sid Saltzman, Michael Stein, Arnold Belgard, James Bonnet, Gerry Day, Lawrence Dobkin, Norman Lessing, Lee Loeb, Terence Maples, Al Martin, James Menzies, Edmund Morris, Barry Trivers, Milton S. Gelman, Donn Mullally, Jo Pagano"
tt0060088,tvMovie,Alice Through the Looking Glass,Alice Through the Looking Glass,0,1966,\N,72,"Family,Fantasy,Musical",nm0359589,"nm7052790,nm0140902",5.9,233,,,,"Judi Rolin, Nanette Fabray, Alan Handley, Albert Simmons, Lewis Carroll, Alan Handley, Elsie Simmons",Alan Handley,"Albert Simmons, Lewis Carroll"
tt0060595,tvMovie,The Little Prince,Der kleine Prinz,0,1966,\N,77,Fantasy,nm0937830,"nm0883074,nm0756686",6.5,29,,,,"Inge Keller, Anna-Katharina Franck, Jürgen Holtz, Konrad Wolf, Angel Wagenstein, Antoine de Saint-Exupéry",Konrad Wolf,"Angel Wagenstein, Antoine de Saint-Exupéry"
tt0061826,movie,It!,It!,0,1967,\N,96,"Horror,Sci-Fi",nm0496447,nm0496447,5.6,1606,,,,"Richard Goolden, Dorothy Frere, Herbert J. Leder, Herbert J. Leder, Herbert J. Leder, Carlo Martelli",Herbert J. Leder,Herbert J. Leder
tt0061852,movie,The Jungle Book,The Jungle Book,0,1967,\N,78,"Adventure,Animation,Comedy",nm0718627,"nm0166307,nm0942723,nm0027011,nm0314788,nm0456017,nm0670328",7.6,207239,,,,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman, Sterling Holloway, J. Pat O'Malley, J. Pat O'Malley, Chad Stuart, Wolfgang Reitherman, Larry Clemmons, Ralph Wright, Ken Anderson, Vance Gerry, Tom Acosta, Norman Carlisle",Wolfgang Reitherman,"Larry Clemmons, Ralph Wright, Ken Anderson, Vance Gerry, Rudyard Kipling, Bill Peet"
tt0064312,movie,The Fall,The Fall,0,1969,\N,116,"Documentary,Music",nm0925718,nm0925718,7.1,75,,,,"Peter Whitehead, Alberta Tiburzi, Angelo Mannsraven, H. Rap Brown, Wendy Clarke, Peter Whitehead, Peter Whitehead, Peter Whitehead, Peter Whitehead, Peter Whitehead",Peter Whitehead,Peter Whitehead
tt0064342,tvEpisode,The Fosters,The Fosters,0,1969,\N,50,"Drama,Horror,Sci-Fi",nm0240154,nm0038818,,,tt0058836,3,10,"Philip Dudley, Michael Ashe",Philip Dudley,Michael Ashe
tt0064448,movie,House of Cards,House of Cards,0,1968,\N,105,"Crime,Drama,Mystery",nm0347086,"nm0712419,nm0290809,nm0254124",6.1,833,,,,"Orson Welles, John Guillermin, Irving Ravetch, Harriet Frank Jr., Stanley Ellin, Paola Roli",John Guillermin,"Irving Ravetch, Harriet Frank Jr., Stanley Ellin"
tt0065198,movie,The Wedding Party,The Wedding Party,0,1969,\N,92,Comedy,"nm0000361,nm0494879,nm0613187","nm0613187,nm0000361,nm0494879",4.7,1714,,,,"Valda Setterfield, Raymond McNally, John Braswell, Charles Pfluger, Judy Thomas, Jennifer Salt, Brian De Palma, Wilford Leach, Cynthia Munroe, Cynthia Munroe, Brian De Palma, Wilford Leach, John Herbert McDowell, Peter Powell, Brian De Palma, Wilford Leach, Cynthia Munroe","Brian De Palma, Wilford Leach, Cynthia Munroe","Cynthia Munroe, Brian De Palma, Wilford Leach"
