tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt11874282	short	One Day at a Time	One Day at a Time	0	\N	\N	\N	Drama,Short
tt11889258	short	The Batman	The Batman	0	2016	\N	1	Action,Short
tt1189264	short	Touch	Touch	0	2007	\N	14	Drama,Short
tt11896958	tvEpisode	Pandora	Pandora	1	2009	\N	\N	Adult
tt11897526	tvEpisode	Love	Love	0	2020	\N	25	Game-Show
tt11897534	tvEpisode	Last Man Standing	Last Man Standing	0	\N	\N	\N	News
tt1190072	movie	The Hunter	Shekarchi	0	2010	\N	90	Drama,Thriller
tt1190130	movie	Love	Love	0	2008	\N	102	Drama,Romance
tt11903050	short	Lost	Lost	0	2019	\N	20	Drama,Short
tt1190537	movie	Bloodline	Bloodline	0	2008	\N	113	Mystery
tt1190689	tvSeries	Nurse Jackie	Nurse Jackie	0	2009	2015	30	Comedy,Drama
tt11909354	tvEpisode	Lost	Lost	0	2020	\N	41	Crime,Drama,Romance
tt1191122	videoGame	Kung Fu Panda	Kung Fu Panda	0	2008	\N	\N	Action,Comedy,Family
tt11921674	tvEpisode	Scooby-Doo 2: Monsters Unleashed	Scooby-Doo 2: Monsters Unleashed	0	2014	\N	\N	Adventure,Comedy,Family
tt1192209	tvEpisode	The Brothers	The Brothers	0	2008	\N	29	Documentary
tt11934876	tvEpisode	Prison Break	Prison Break	1	2020	\N	\N	Adult
tt11935408	tvEpisode	Magic Mike	Magic Mike	0	2016	\N	\N	Comedy
tt11936372	short	Anastasia	Anastasia	0	2006	\N	7	Short
tt11940558	tvEpisode	Boy Bye	Me dá um tempo	0	2020	\N	52	Reality-TV
tt11946108	video	It	It	0	2019	\N	3	Music,Short
tt11946142	tvEpisode	How to Get Away with Murder	How to Get Away with Murder	0	2017	\N	20	Comedy,Crime
tt11951192	tvEpisode	Friends	Friends	0	2018	\N	13	Adventure,Animation,Comedy
tt11951302	tvEpisode	Minions	Minions	0	2020	\N	\N	Comedy
tt1195489	short	Love	Love	0	2008	\N	13	Adventure,Drama,Romance
tt11957120	short	Home	Home	0	2020	\N	9	Drama,Short
tt1195935	tvSeries	The Cleveland Show	The Cleveland Show	0	2009	2013	22	Adventure,Animation,Comedy
tt11961740	tvSeries	Home	Home	0	\N	\N	\N	Drama
tt11962476	tvEpisode	Friends	Friends	0	2014	\N	\N	Game-Show
tt11962728	tvEpisode	Breaking Bad	Breaking Bad	0	2014	\N	\N	Reality-TV
tt11963328	tvEpisode	Last Man Standing	Last Man Standing	0	2018	\N	15	Comedy,Crime
tt11964478	short	Home	Home	0	2020	\N	\N	Short
tt1196708	short	Twilight	Twilight	0	2008	\N	16	Drama,Short
tt1197496	tvMovie	The Brothers	The Brothers	0	2006	\N	25	Documentary
tt11978848	tvEpisode	Paddington	Paddington	0	2018	\N	\N	Adventure,Comedy,Family
tt11980128	short	Girlboss	Girlboss	0	2019	\N	3	Music,Short
tt11983158	movie	Unconditional	Unconditional	0	2020	\N	\N	Drama
tt11991210	short	The Fall	The Fall	0	\N	\N	\N	Drama,Short
tt11998300	tvMovie	The Last Unicorn	The Last Unicorn	0	\N	\N	\N	Documentary
tt12014662	short	Lovesick	Lovesick	0	2014	\N	\N	Drama,Short
tt12019282	movie	The Fall	The Fall	0	\N	\N	\N	Thriller
tt12024700	video	Lost	Lost	0	2017	\N	3	Music,Short
tt12025342	tvSeries	IT+	IT+	0	2011	\N	\N	News
tt12025604	tvEpisode	Revenge	Revenge	0	2020	\N	\N	Action,Crime,Drama
tt1203040	tvEpisode	No Tomorrow	No Tomorrow	0	2008	\N	22	Comedy,Drama,Romance
tt12038128	tvEpisode	Friends	Friends	0	2020	\N	10	Comedy
tt12038674	tvEpisode	Once Upon a Time...	Once Upon a Time...	0	2020	\N	\N	Drama
tt1204941	short	Once Upon a Time	Once Upon a Time	0	1915	\N	\N	Comedy,Short
tt12049548	short	Home	Home	0	2017	\N	\N	Comedy,Short
tt12054980	short	Bloodline	Bloodline	0	2020	\N	12	Crime,Drama,Short
tt12058380	tvEpisode	The Little Engine That Could	The Little Engine That Could	0	2020	\N	\N	Family
tt12063378	tvEpisode	Revenge	Revenge	0	2013	\N	25	Action,Adventure,Comedy
tt12066052	tvEpisode	Minions	Minions	0	2013	\N	28	Action,Adventure,Comedy
tt12068420	tvEpisode	Lost	Lost	0	1993	\N	1	Mystery
tt12074108	tvEpisode	The Fall	The Fall	0	2019	\N	\N	Animation,Fantasy,Horror
tt1208382	tvEpisode	Home	Home	0	1968	\N	90	Biography,Drama,History
tt12084802	tvEpisode	Breaking Bad	Breaking Bad	0	2013	\N	20	Action,Adventure,Comedy
tt1208716	movie	Person of Interest	Person of Interest	0	2010	\N	72	Crime,Drama,Thriller
tt12094778	tvEpisode	Revenge	Revenge	0	2020	\N	\N	Comedy
tt12099324	tvSeries	Home_	Home_	0	2020	\N	9	Drama
tt12100522	tvEpisode	3	3	0	2017	\N	\N	Crime,Drama,Sci-Fi
tt12103210	short	Unconditional	Unconditional	0	2020	\N	8	Drama,Short
tt12104448	tvEpisode	Friends	Friends	0	1999	\N	21	Adventure,Comedy,Family
tt12108896	tvSeries	The Fall	The Fall	0	\N	\N	\N	Drama
tt12110212	tvEpisode	Aquarius	Aquarius	0	2020	\N	\N	Comedy
tt12112284	short	Touch	Touch	0	2020	\N	\N	Comedy,Short
tt1211435	tvEpisode	The Three Musketeers	The Three Musketeers	0	1989	\N	\N	Comedy
tt12115990	tvEpisode	Honey, I Shrunk the Kids	Honey, I Shrunk the Kids	0	2020	\N	29	Adventure,Documentary,History
tt1212070	short	The Brothers	The Brothers	0	1914	\N	\N	Drama,Romance,Short
tt12123562	tvEpisode	Home	Home	0	2020	\N	\N	Reality-TV
tt1212848	tvEpisode	The Fall	The Fall	0	1979	\N	50	Drama
tt12129902	tvEpisode	Jessie	Jessie	0	2012	\N	4	Comedy,Horror,Mystery
tt12132224	short	Lovesick	Lovesick	0	2020	\N	\N	Drama,Short
tt12132718	tvEpisode	The Waterboy	The Waterboy	1	2012	\N	\N	Adult
tt12138400	short	Love	Love	0	2011	\N	7	Short
tt1214117	short	Unconditional	Unconditional	0	2008	\N	15	Drama,Short
tt1214342	tvSeries	Heavyweights	Heavyweights	0	2008	\N	\N	Reality-TV
tt12145162	short	Home	Home	0	2020	\N	\N	Short
tt12145328	video	Revenge	Revenge	0	2019	\N	5	Music,Short
tt1215004	tvSeries	Pandora	Pandora	0	2008	\N	60	Drama,Mystery,Thriller
tt12151128	tvEpisode	The Discovery	The Discovery	0	2020	\N	\N	Action,Drama,Family
tt12160108	tvEpisode	Home	Home	0	2014	\N	\N	Drama,Mystery,Thriller
tt12161658	tvEpisode	Stranger Things	Stranger Things	0	2020	\N	\N	Drama,Sci-Fi
tt12164378	video	Easy	Easy	0	2020	\N	\N	Music,Short
tt1216621	tvEpisode	Underdogs	Underdogs	0	2009	\N	43	Drama,Sport
tt12169728	tvEpisode	The Fall	The Fall	0	2020	\N	\N	Short
tt12171406	tvEpisode	Death Note	Death Note	0	2020	\N	\N	Comedy
tt12171428	tvEpisode	Home	Home	0	2022	\N	\N	Action,Animation,Drama
tt1217213	movie	Secret of the Wings	Secret of the Wings	0	2012	\N	75	Animation,Family,Fantasy
tt1218339	short	House of Cards	House of Cards	0	2008	\N	\N	Drama,Short
tt12187158	tvEpisode	Pandora!	Pandora!	1	2014	\N	\N	Adult
tt12188568	tvEpisode	Breaking Bad	Breaking Bad	0	2022	\N	57	Crime,Drama
tt1218957	tvEpisode	Home	Home	0	2009	\N	43	Action,Adventure,Drama
tt1218961	tvEpisode	Bloodline	Bloodline	0	2009	\N	43	Action,Adventure,Drama
tt1219289	movie	Limitless	Limitless	0	2011	\N	105	Sci-Fi,Thriller
tt12196652	short	Starstruck	Starstruck	0	2020	\N	13	Drama,Short
tt12197812	tvEpisode	Revenge	Revenge	0	2020	\N	\N	Comedy
tt12210908	tvEpisode	Love	Love	0	2020	\N	\N	Drama
tt1221194	tvMovie	The Little Rascals	The Little Rascals	0	1977	\N	\N	Comedy,Family
tt1222762	tvEpisode	Criminal Minds	Criminal Minds	0	2008	\N	\N	Documentary
tt1222787	tvEpisode	Once Upon A Time	Once Upon A Time	0	1988	\N	52	Documentary
tt12228878	tvMiniSeries	Love?	Love?	0	2015	2015	25	Drama,Romance
tt12230410	short	Home	Home	0	2020	\N	\N	Drama,Short
tt12232568	tvEpisode	Prison Break	Prison Break	0	2019	\N	\N	Action,Comedy
tt12247814	movie	Love	Ai	0	1926	\N	\N	Drama
tt12250428	short	Lovesick	Lovesick	0	2020	\N	11	Comedy,Short
tt1225705	short	Once Upon a Time	Once Upon a Time	0	1913	\N	\N	Fantasy,Short
tt12257880	tvSeries	Velvet	Velvet	0	2008	2008	30	Documentary,Talk-Show
tt1225901	tvSeries	90210	90210	0	2008	2013	60	Comedy,Drama,Romance
tt1226461	tvEpisode	Revenge	Revenge	0	2007	\N	44	Crime,Documentary
tt1226766	movie	The Great Gilly Hopkins	The Great Gilly Hopkins	0	2015	\N	99	Comedy,Drama,Family
tt12279252	tvEpisode	Lost	Lost	0	2019	\N	\N	Documentary,Mystery
tt12281106	tvEpisode	The Pacifier	The Pacifier	0	1987	\N	\N	Animation,Comedy,Short
tt12281148	tvEpisode	House of Cards	House of Cards	0	1987	\N	\N	Animation,Comedy,Short
tt12285944	short	The Discovery	The Discovery	0	2017	\N	4	Animation,Short
tt1229091	tvEpisode	Twilight	Twilight	0	2003	\N	23	Adventure,Animation,Drama
tt12291590	tvEpisode	Dope!	Dope!	0	2020	\N	43	Reality-TV
tt12292572	tvEpisode	Home	Home	0	2020	\N	\N	Comedy,Reality-TV
tt12292628	short	Touch	Touch	0	2020	\N	5	Drama,Short
tt12298404	tvEpisode	Lost	Lost	0	1999	\N	\N	Family,Sci-Fi
tt12300160	short	Love	Love	0	2019	\N	11	Romance,Short
tt12301534	tvEpisode	13 Reasons Why	13 Reasons Why	0	2020	\N	\N	Talk-Show
tt12304242	tvEpisode	Lost	Lost	0	2015	\N	\N	Talk-Show
tt12305494	tvEpisode	10 Things I Hate about You	10 Things I Hate about You	0	2013	\N	\N	Talk-Show
tt12307434	short	Home	Home	0	2019	\N	\N	Drama,Short
tt12315380	short	Home	Home	0	2019	\N	\N	Drama,Short
tt12316834	tvEpisode	Prison Break	Prison Break	0	2018	\N	\N	Fantasy
tt12320314	tvEpisode	Revenge	Revenge	1	2019	\N	\N	Adult
tt12320788	tvEpisode	Friends with Benefits	Friends with Benefits	0	2020	\N	\N	Comedy
tt12320992	short	Annie	Annie	0	2020	\N	13	Sci-Fi,Short
tt12321122	tvEpisode	The Deep	The Deep	0	2020	\N	\N	Documentary
tt1232255	tvEpisode	Better Call Saul	Better Call Saul	0	2009	\N	47	Crime,Drama,Thriller
tt1232695	tvEpisode	Bones	Bones	0	2007	\N	\N	Documentary
tt12328614	short	Love/Sick	Love/Sick	0	2020	\N	8	Comedy,Short
tt1232916	tvEpisode	Scandal	Scandal	0	1975	\N	53	Biography,Drama,History
tt1234286	tvEpisode	The Deep	The Deep	0	2008	\N	\N	Family
tt1234304	tvEpisode	Revenge	Revenge	0	1990	\N	\N	Comedy,Crime,Drama
tt1235099	tvSeries	Lie to Me	Lie to Me	0	2009	2011	43	Crime,Drama,Mystery
tt1235315	tvEpisode	Home	Home	0	2008	\N	29	Comedy,Drama,Romance
tt12357280	tvEpisode	Aquarius	Aquarius	0	2020	\N	\N	Documentary,Talk-Show
tt1236429	tvSeries	Sid the Science Kid	Sid the Science Kid	0	2008	\N	27	Animation,Comedy,Family
tt12367872	tvEpisode	Fuller House	Fuller House	0	2020	\N	\N	Talk-Show
tt12369206	tvMovie	The Little Prince	Pikku prinssi	0	1995	\N	50	Family
tt12370614	short	Home	Home	0	2019	\N	17	Drama,Short
tt1237179	tvEpisode	Home	Home	0	1958	\N	\N	Drama
tt1237768	tvEpisode	Scandal	Scandal	0	2008	\N	43	Reality-TV
tt12386222	tvEpisode	Home	Home	0	2020	\N	\N	Documentary
tt1238911	tvEpisode	Home	Home	0	2005	\N	\N	Family
tt1238913	tvEpisode	Lost	Lost	0	2005	\N	\N	Family
tt12395212	tvEpisode	Blow	Blow	0	1999	\N	\N	Action,Adventure,Animation
tt12398128	tvEpisode	Once Upon a Time	Once Upon a Time	0	2020	\N	\N	Reality-TV
tt12401234	short	Unconditional	Unconditional	0	2020	\N	7	Drama,Short
tt12412728	tvEpisode	Friends	Friends	0	2000	\N	\N	Action,Adventure,Animation
tt1241317	movie	Death Note	Death Note	0	2017	\N	101	Crime,Drama,Fantasy
tt1241722	short	Worms	Worms	0	2007	\N	23	Horror,Short
tt1241898	tvEpisode	Love	Love	0	2001	\N	\N	Drama
tt1242263	tvEpisode	Home	Home	0	2001	\N	\N	Drama
tt1243395	tvEpisode	Teenage Mutant Ninja Turtles	Teenage Mutant Ninja Turtles	0	2006	\N	7	Action,Comedy,Fantasy
tt1243509	tvEpisode	Friends	Friends	0	1991	\N	15	Family,Music
tt12436534	tvEpisode	The seven deadly sins!	The seven deadly sins!	0	2018	\N	\N	Reality-TV
tt1245154	tvEpisode	Friends	Friends	0	\N	\N	27	Adventure,Animation,Comedy
tt12452338	tvEpisode	Friends with Benefits	Friends with Benefits	0	2020	\N	42	Reality-TV
tt1245543	movie	The Three Musketeers	The Three Musketeers	0	\N	\N	\N	Action,Drama
tt12459956	tvEpisode	Love	Love	0	1988	\N	\N	Sci-Fi
tt12463178	tvEpisode	The Wedding Party	The Wedding Party	0	2011	\N	\N	Family,Fantasy
tt12464248	short	Home	Home	0	2021	\N	20	Documentary,Short
tt1246729	short	Love	Love	0	2008	\N	9	Drama,Short
tt12469286	tvEpisode	American Horror Story	American Horror Story	0	2015	\N	\N	Talk-Show
tt12470694	tvEpisode	Orange is the New Black	Orange is the New Black	0	2015	\N	\N	Talk-Show
tt12473702	short	Twilight	Twilight	0	2005	\N	5	Short
tt12474156	tvEpisode	Prison Break	Prison Break	0	2014	\N	\N	Adventure,Comedy
tt12474790	tvEpisode	Teenage Mutant Ninja Turtles	Teenage Mutant Ninja Turtles	0	2020	\N	\N	Comedy
